manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,gear
pontiac,grand prix,3.1,1999,6,auto(l4),front,18,26,r,midsize,auto
pontiac,grand prix,3.8,1999,6,auto(l4),front,16,26,p,midsize,auto
pontiac,grand prix,3.8,1999,6,auto(l4),front,17,27,r,midsize,auto
pontiac,grand prix,3.8,2008,6,auto(l4),front,18,28,r,midsize,auto
pontiac,grand prix,5.3,2008,8,auto(s4),front,16,25,p,midsize,auto
subaru,forester awd,2.5,1999,4,manual(m5),4-wheel,18,25,r,suv,manual
subaru,forester awd,2.5,1999,4,auto(l4),4-wheel,18,24,r,suv,auto
subaru,forester awd,2.5,2008,4,manual(m5),4-wheel,20,27,r,suv,manual
subaru,forester awd,2.5,2008,4,manual(m5),4-wheel,19,25,p,suv,manual
subaru,forester awd,2.5,2008,4,auto(l4),4-wheel,20,26,r,suv,auto
subaru,forester awd,2.5,2008,4,auto(l4),4-wheel,18,23,p,suv,auto
subaru,impreza awd,2.2,1999,4,auto(l4),4-wheel,21,26,r,subcompact,auto
subaru,impreza awd,2.2,1999,4,manual(m5),4-wheel,19,26,r,subcompact,manual
subaru,impreza awd,2.5,1999,4,manual(m5),4-wheel,19,26,r,subcompact,manual
subaru,impreza awd,2.5,1999,4,auto(l4),4-wheel,19,26,r,subcompact,auto
subaru,impreza awd,2.5,2008,4,auto(s4),4-wheel,20,25,p,compact,auto
subaru,impreza awd,2.5,2008,4,auto(s4),4-wheel,20,27,r,compact,auto
subaru,impreza awd,2.5,2008,4,manual(m5),4-wheel,19,25,p,compact,manual
subaru,impreza awd,2.5,2008,4,manual(m5),4-wheel,20,27,r,compact,manual
toyota,4runner 4wd,2.7,1999,4,manual(m5),4-wheel,15,20,r,suv,manual
toyota,4runner 4wd,2.7,1999,4,auto(l4),4-wheel,16,20,r,suv,auto
toyota,4runner 4wd,3.4,1999,6,auto(l4),4-wheel,15,19,r,suv,auto
toyota,4runner 4wd,3.4,1999,6,manual(m5),4-wheel,15,17,r,suv,manual
toyota,4runner 4wd,4,2008,6,auto(l5),4-wheel,16,20,r,suv,auto
toyota,4runner 4wd,4.7,2008,8,auto(l5),4-wheel,14,17,r,suv,auto
toyota,camry,2.2,1999,4,manual(m5),front,21,29,r,midsize,manual
toyota,camry,2.2,1999,4,auto(l4),front,21,27,r,midsize,auto
toyota,camry,2.4,2008,4,manual(m5),front,21,31,r,midsize,manual
toyota,camry,2.4,2008,4,auto(l5),front,21,31,r,midsize,auto
toyota,camry,3,1999,6,auto(l4),front,18,26,r,midsize,auto
toyota,camry,3,1999,6,manual(m5),front,18,26,r,midsize,manual
toyota,camry,3.5,2008,6,auto(s6),front,19,28,r,midsize,auto
toyota,camry solara,2.2,1999,4,auto(l4),front,21,27,r,compact,auto
toyota,camry solara,2.2,1999,4,manual(m5),front,21,29,r,compact,manual
toyota,camry solara,2.4,2008,4,manual(m5),front,21,31,r,compact,manual
toyota,camry solara,2.4,2008,4,auto(s5),front,22,31,r,compact,auto
toyota,camry solara,3,1999,6,auto(l4),front,18,26,r,compact,auto
toyota,camry solara,3,1999,6,manual(m5),front,18,26,r,compact,manual
toyota,camry solara,3.3,2008,6,auto(s5),front,18,27,r,compact,auto
toyota,corolla,1.8,1999,4,auto(l3),front,24,30,r,compact,auto
toyota,corolla,1.8,1999,4,auto(l4),front,24,33,r,compact,auto
toyota,corolla,1.8,1999,4,manual(m5),front,26,35,r,compact,manual
toyota,corolla,1.8,2008,4,manual(m5),front,28,37,r,compact,manual
toyota,corolla,1.8,2008,4,auto(l4),front,26,35,r,compact,auto
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4-wheel,11,15,r,suv,auto
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4-wheel,13,18,r,suv,auto
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4-wheel,15,20,r,pickup,manual
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4-wheel,16,20,r,pickup,auto
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4-wheel,17,22,r,pickup,manual
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4-wheel,15,17,r,pickup,manual
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4-wheel,15,19,r,pickup,auto
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4-wheel,15,18,r,pickup,manual
toyota,toyota tacoma 4wd,4,2008,6,auto(l5),4-wheel,16,20,r,pickup,auto
volkswagen,gti,2,1999,4,manual(m5),front,21,29,r,compact,manual
volkswagen,gti,2,1999,4,auto(l4),front,19,26,r,compact,auto
volkswagen,gti,2,2008,4,manual(m6),front,21,29,p,compact,manual
volkswagen,gti,2,2008,4,auto(s6),front,22,29,p,compact,auto
volkswagen,gti,2.8,1999,6,manual(m5),front,17,24,r,compact,manual
volkswagen,jetta,1.9,1999,4,manual(m5),front,33,44,d,compact,manual
volkswagen,jetta,2,1999,4,manual(m5),front,21,29,r,compact,manual
volkswagen,jetta,2,1999,4,auto(l4),front,19,26,r,compact,auto
volkswagen,jetta,2,2008,4,auto(s6),front,22,29,p,compact,auto
volkswagen,jetta,2,2008,4,manual(m6),front,21,29,p,compact,manual
volkswagen,jetta,2.5,2008,5,auto(s6),front,21,29,r,compact,auto
volkswagen,jetta,2.5,2008,5,manual(m5),front,21,29,r,compact,manual
volkswagen,jetta,2.8,1999,6,auto(l4),front,16,23,r,compact,auto
volkswagen,jetta,2.8,1999,6,manual(m5),front,17,24,r,compact,manual
volkswagen,new beetle,1.9,1999,4,manual(m5),front,35,44,d,subcompact,manual
volkswagen,new beetle,1.9,1999,4,auto(l4),front,29,41,d,subcompact,auto
volkswagen,new beetle,2,1999,4,manual(m5),front,21,29,r,subcompact,manual
volkswagen,new beetle,2,1999,4,auto(l4),front,19,26,r,subcompact,auto
volkswagen,new beetle,2.5,2008,5,manual(m5),front,20,28,r,subcompact,manual
volkswagen,new beetle,2.5,2008,5,auto(s6),front,20,29,r,subcompact,auto
volkswagen,passat,1.8,1999,4,manual(m5),front,21,29,p,midsize,manual
volkswagen,passat,1.8,1999,4,auto(l5),front,18,29,p,midsize,auto
volkswagen,passat,2,2008,4,auto(s6),front,19,28,p,midsize,auto
volkswagen,passat,2,2008,4,manual(m6),front,21,29,p,midsize,manual
volkswagen,passat,2.8,1999,6,auto(l5),front,16,26,p,midsize,auto
volkswagen,passat,2.8,1999,6,manual(m5),front,18,26,p,midsize,manual
volkswagen,passat,3.6,2008,6,auto(s6),front,17,26,p,midsize,auto
